Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,World Share1
Bahrain,62000,0%,666.6,2.01,0.53,112.31,20410,10154,15,0
Yemen,60000,0%,33.9,1.96,0.52,109.35,824,420,12,0
Costa Rica,55000,0%,172.1,5.87,1.55,327.83,12141,2068,12,0
Luxembourg,56194,0%,1487.2,7.91,2.09,441.82,115874,14649,10,0
Uruguay,53000,0%,237.3,7.64,2.02,427.02,15438,2021,9,0
Lithuania,61612,0%,326.9,8.11,2.14,453.24,20234,2495,8,0
Trinidad and Tobago,57000,0%,634.3,3.76,0.99,210.02,15426,4103,6,0
Honduras,58000,0%,95.9,5.49,1.45,306.46,2406,438,5,0
Jamaica,54000,0%,284.8,6.36,1.68,355.32,4665,733,3,0
Uzbekistan,49000,0%,23.9,3.39,0.9,189.29,1686,497,21,0
Côte d'Ivoire,51000,0%,32.8,4.47,1.18,249.57,2325,520,16,0
Slovenia,52298,0%,386.5,6.15,1.62,343.48,25517,4149,11,0
Paraguay,51000,0%,115.4,5.3,1.4,295.89,4950,934,8,0
El Salvador,52000,0%,125.4,4.31,1.14,240.9,3799,881,7,0
Cambodia,48000,0%,46.7,5.78,1.53,322.96,1513,262,6,0
Cyprus,52000,0%,681.2,7.04,1.86,393.18,26624,3782,6,0
Senegal,49000,0%,50.1,5.39,1.42,300.96,1488,276,6,0
Malta,47000,0%,1652.2,5.28,1.4,295.04,27885,5281,3,0
Cameroon,40000,0%,25.6,3.93,1.04,219.33,1499,381,15,0
Afghanistan,35000,0%,15.2,3.62,0.96,201.98,509,141,9,0
Nepal,43000,0%,24.2,5.39,1.42,301.18,1155,214,9,0
Latvia,37694,0%,292.7,8.28,2.19,462.55,17726,2141,7,0
Benin,36000,0%,50.8,3.63,0.96,202.83,1291,356,7,0
Papua New Guinea,37001,0%,68.6,5.87,1.55,327.83,2637,449,7,0
Bosnia and Herzegovina,35000,0%,158.4,6.55,1.73,366.11,6032,921,6,0
Mozambique,40000,0%,22,4.94,1.3,275.8,449,91,4,0
Nicaragua,37000,0%,90,5.18,1.37,289.54,1905,368,4,0
Kyrgyzstan,40000,0%,100.9,3.14,0.83,175.55,1174,374,4,0
Uganda,32001,0%,12.4,5.7,1.51,318.52,817,143,12,0
Estonia,28855,0%,336,8.35,2.21,466.57,23027,2758,8,0
Zimbabwe,24000,0%,26.2,6.13,1.62,342.42,1128,184,7,0
Georgia,33000,0%,126,5.04,1.33,281.51,4279,849,7,0
State of Palestine,24001,0%,79.4,6.62,1.75,370.13,3240,489,6,0
Namibia,26000,0%,169,4.8,1.27,268.18,4211,877,5,0
Albania,27000,0%,143.4,8,2.11,447.11,5215,652,5,0
Mauritius,28000,0%,340.2,6.36,1.68,355.32,8628,1357,4,0
Brunei ,16000,0%,584.3,0.83,0.22,46.53,27443,33064,57,0
Macao,17110,0%,428,5.42,1.43,302.87,86117,15889,37,0
DR Congo,21000,0%,4.1,4.43,1.17,247.46,557,126,31,0
Haiti,23000,0%,32.5,2.18,0.58,122.04,1177,540,17,0
Gabon,21000,0%,160.3,3.65,0.97,204.1,7006,1919,12,0
Madagascar,18000,0%,11.1,3.86,1.02,215.94,496,128,12,0
Botswana,21000,0%,149,4.29,1.13,239.42,6711,1564,10,0
Burkina Faso,23000,0%,18.9,4.33,1.14,241.74,831,192,10,0
Moldova,18001,0%,67.9,6.75,1.78,376.89,4551,674,10,0
Mali,21999,0%,18.8,4.61,1.22,257.61,859,186,10,0
Congo,17000,0%,52.3,3.94,1.04,219.96,1973,501,10,0
Togo,15000,0%,30.6,3.18,0.84,177.45,915,288,9,0
Guinea,19001,0%,24.8,5.13,1.36,286.79,1194,233,9,0
Zambia,22000,0%,20.6,5.59,1.48,312.6,1051,188,9,0
Laos,18000,0%,40.3,7.23,1.91,403.75,2630,364,9,0
Mongolia,21000,0%,105.3,4.67,1.23,260.78,4007,858,8,0
Iceland,19090,0%,880.9,9.83,2.6,549.48,59270,6030,7,0
North Macedonia,21000,0%,154.7,7.12,1.88,397.62,5888,827,5,0
Bahamas,20036,0%,812.7,6.48,1.71,361.88,25194,3888,5,0
Tajikistan,21000,0%,37.2,5.94,1.57,332.06,859,145,4,0
New Caledonia,20000,0%,1118.2,8.19,2.16,457.47,34789,4248,4,0
Fiji,16000,0%,281.2,5.27,1.39,294.41,4882,926,3,0
N Korea,18000,0%,10.9,54.89,14.5,3066.75,1300,24,2,0
Armenia,6000,0%,31.3,4.77,1.26,266.49,4268,895,29,0
Malawi,6001,0%,5.3,5.12,1.35,285.95,625,122,23,0
South Sudan,8001,0%,11.3,4.8,1.27,268.18,1120,233,21,0
Rwanda,6700,0%,8.8,5.36,1.42,299.27,798,149,17,0
Somalia,5600,0%,6.1,3.03,0.8,169.2,309,102,17,0
Montenegro,7000,0%,171.1,6.46,1.71,361.03,7677,1188,7,0
Sierra Leone,6500,0%,13.6,5.17,1.37,288.91,485,94,7,0
Guyana,14000,0%,278.2,4.6,1.22,257.18,6956,1512,5,0
Maldives,11000,0%,354.6,3.6,0.95,201.14,6924,1923,5,0
Liberia,8000,0%,26.7,4.9,1.3,273.89,583,119,4,0
Suriname,13000,0%,352.8,4.26,1.13,237.94,6491,1524,4,0
Aruba,8000,0%,1169.4,6.08,1.61,339.67,30253,4976,4,0
Lesotho,5001,0%,36.9,5.68,1.5,317.46,861,152,4,0
Barbados,11001,0%,590.1,8.27,2.18,461.92,15374,1859,3,0
Cabo Verde,5600,0%,161.6,6.86,1.81,383.24,3064,447,3,0
Seychelles,7299,0%,1169.1,6.9,1.82,385.35,10764,1560,1,0
Burundi,1499,0%,2.2,5.09,1.34,284.26,274,54,24,0
British Virgin Islands,1240,0%,647.6,3.6,0.95,200.93,34246,9513,15,0
Cayman Islands,4401,0%,1078.3,6.27,1.66,350.24,85083,13570,13,0
Bhutan,3001,0%,62.4,4.46,1.18,249.15,3122,700,11,0
Comoros,1300,0%,25,5.15,1.36,287.64,1403,272,11,0
Vanuatu,1100,0%,60.6,4.92,1.3,274.95,2783,566,9,0
Saint Helena,70,0%,180.2,5.53,1.46,309.21,7800,1410,8,0
